term,score
hitherward,7.027325540540822
threatenings,7.027325540540822
ridged,7.027325540540822
handmaidens,7.027325540540822
thoön,7.027325540540822
render,7.027325540540822
dishonour,7.027325540540822
rulest,7.027325540540822
journeyed,7.027325540540822
thrusts,7.027325540540822
draweth,7.027325540540822
regard,7.027325540540822
en,7.027325540540822
exulteth,7.027325540540822
dykes,7.027325540540822
reacheth,7.027325540540822
euryalus,7.027325540540822
embarked,7.027325540540822
admetus,7.027325540540822
adread,7.027325540540822
lyrnessus,7.027325540540822
beholdeth,7.027325540540822
encompassed,7.027325540540822
marvelled,7.027325540540822
lycomedes,7.027325540540822
kingly,7.027325540540822
ceaselessly,7.027325540540822
fleetly,7.027325540540822
flieth,7.027325540540822
overmastered,7.027325540540822
leech,7.027325540540822
likening,7.027325540540822
cypris,7.027325540540822
liest,7.027325540540822
sitteth,7.027325540540822
tumultuously,7.027325540540822
hurtling,7.027325540540822
casteth,7.027325540540822
outlook,7.027325540540822
hoofed,7.027325540540822
laërtes,7.027325540540822
socus,7.027325540540822
clytius,7.027325540540822
alcathous,7.027325540540822
preeminent,7.027325540540822
alpheius,7.027325540540822
sleepest,7.027325540540822
waxeth,7.027325540540822
anywhere,7.027325540540822
orsilochus,7.027325540540822
streaming,7.027325540540822
confounded,7.027325540540822
separate,7.027325540540822
overmuch,7.027325540540822
carest,7.027325540540822
shattered,7.027325540540822
shambling,7.027325540540822
speedy,7.027325540540822
ilus,7.027325540540822
deiphobus,7.027325540540822
passeth,7.027325540540822
liveth,7.027325540540822
cord,7.027325540540822
areithous,7.027325540540822
seest,7.027325540540822
onrush,7.027325540540822
spattered,5.6218604324326575
counsellors,5.6218604324326575
piled,5.6218604324326575
poureth,5.6218604324326575
gape,5.6218604324326575
euphorbus,5.6218604324326575
ephyre,5.6218604324326575
pliant,5.6218604324326575
echius,5.6218604324326575
placus,5.6218604324326575
pleasant,5.6218604324326575
timorous,5.6218604324326575
gargarus,5.6218604324326575
steps,5.6218604324326575
enfold,5.6218604324326575
espy,5.6218604324326575
splendour,5.6218604324326575
sorrowed,5.6218604324326575
beetling,5.6218604324326575
prophesy,5.6218604324326575
heartening,5.6218604324326575
spirits,5.6218604324326575
spurted,5.6218604324326575
tract,5.6218604324326575
marsh,5.6218604324326575
phylace,5.6218604324326575
bearest,5.6218604324326575
spreadeth,5.6218604324326575
marvelling,5.6218604324326575
cords,5.6218604324326575
stabbed,5.6218604324326575
corn,5.6218604324326575
frontlets,5.6218604324326575
enwrapped,5.6218604324326575
coeranus,5.6218604324326575
embassage,5.6218604324326575
portico,5.6218604324326575
hampered,5.6218604324326575
halting,5.6218604324326575
fatal,5.6218604324326575
cheiron,5.6218604324326575
shut,5.6218604324326575
tethered,5.6218604324326575
strewn,5.6218604324326575
stroked,5.6218604324326575
taslet,5.6218604324326575
fleeced,5.6218604324326575
gushed,5.6218604324326575
craftsman,5.6218604324326575
shewing,5.6218604324326575
shieldmen,5.6218604324326575
surface,5.6218604324326575
devoureth,5.6218604324326575
devising,5.6218604324326575
deviser,5.6218604324326575
setteth,5.6218604324326575
morrow,5.6218604324326575
sware,5.6218604324326575
buprasium,5.6218604324326575
swine,5.6218604324326575
calleth,5.6218604324326575
teeming,5.6218604324326575
meed,5.6218604324326575
coursing,5.6218604324326575
gazing,5.6218604324326575
slumbering,5.6218604324326575
slayest,5.6218604324326575
phocians,5.6218604324326575
phorcys,5.6218604324326575
sleepeth,5.6218604324326575
revered,5.6218604324326575
falleth,5.6218604324326575
rims,5.6218604324326575
nimbly,5.6218604324326575
fareth,5.6218604324326575
blustering,5.6218604324326575
clasping,5.6218604324326575
roareth,5.6218604324326575
outstripped,5.6218604324326575
dishonoured,5.6218604324326575
rouseth,5.6218604324326575
thereunder,5.6218604324326575
rolleth,5.6218604324326575
streamed,5.6218604324326575
flown,5.6218604324326575
simois,5.6218604324326575
clave,5.6218604324326575
vouchsafeth,5.6218604324326575
witless,5.6218604324326575
vexation,5.6218604324326575
leeches,5.6218604324326575
antimachus,5.6218604324326575
availeth,5.6218604324326575
laments,5.6218604324326575
anigh,5.6218604324326575
likened,5.6218604324326575
backs,5.6218604324326575
upsprang,5.6218604324326575
aesepus,5.6218604324326575
lampus,5.6218604324326575
unresting,5.6218604324326575
unscathed,5.6218604324326575
afore,5.6218604324326575
andraemon,5.6218604324326575
lesser,5.6218604324326575
hooves,5.6218604324326575
vehement,5.6218604324326575
grains,5.6218604324326575
ungentle,5.6218604324326575
hicetaon,5.6218604324326575
walketh,5.6218604324326575
urgeth,5.6218604324326575
unbending,5.6218604324326575
wist,5.6218604324326575
laodice,5.6218604324326575
watcheth,5.6218604324326575
looketh,5.6218604324326575
aretus,5.6218604324326575
lovest,5.6218604324326575
arrogant,5.6218604324326575
perisheth,4.216395324324493
unskilled,4.216395324324493
minisheth,4.216395324324493
brine,4.216395324324493
rousing,4.216395324324493
cowered,4.216395324324493
wantonly,4.216395324324493
pylaemenes,4.216395324324493
guideth,4.216395324324493
tartarus,4.216395324324493
wardeth,4.216395324324493
eurytus,4.216395324324493
disobedient,4.216395324324493
orchomenus,4.216395324324493
amarynceus,4.216395324324493
fashioning,4.216395324324493
rivalry,4.216395324324493
robbeth,4.216395324324493
quaileth,4.216395324324493
farmstead,4.216395324324493
discus,4.216395324324493
bosomed,4.216395324324493
weave,4.216395324324493
foeman,4.216395324324493
fodder,4.216395324324493
curb,4.216395324324493
curbing,4.216395324324493
direful,4.216395324324493
youthful,4.216395324324493
forsooth,4.216395324324493
cutteth,4.216395324324493
fattest,4.216395324324493
dionysus,4.216395324324493
diocles,4.216395324324493
simoeisius,4.216395324324493
workest,4.216395324324493
zeleia,4.216395324324493
simoïs,4.216395324324493
prophet,4.216395324324493
lodged,4.216395324324493
purposed,4.216395324324493
alcmene,4.216395324324493
haemon,4.216395324324493
purposes,4.216395324324493
hah,4.216395324324493
peneius,4.216395324324493
enamoured,4.216395324324493
endless,4.216395324324493
welded,4.216395324324493
mightiness,4.216395324324493
prothoënor,4.216395324324493
leadeth,4.216395324324493
podarces,4.216395324324493
crown,4.216395324324493
prudence,4.216395324324493
handmaid,4.216395324324493
encloseth,4.216395324324493
leïtus,4.216395324324493
glistering,4.216395324324493
planned,4.216395324324493
neighbour,4.216395324324493
colour,4.216395324324493
joining,4.216395324324493
glorieth,4.216395324324493
harbour,4.216395324324493
oaks,4.216395324324493
nurturing,4.216395324324493
pherae,4.216395324324493
goest,4.216395324324493
archelochus,4.216395324324493
ancient,4.216395324324493
chalcis,4.216395324324493
goodlier,4.216395324324493
recketh,4.216395324324493
getteth,4.216395324324493
dreadful,4.216395324324493
hopeth,4.216395324324493
rememberest,4.216395324324493
givest,4.216395324324493
straitened,4.216395324324493
remedy,4.216395324324493
stichius,4.216395324324493
glens,4.216395324324493
gaze,4.216395324324493
choosing,4.216395324324493
chiefly,4.216395324324493
gasped,4.216395324324493
draggeth,4.216395324324493
regarding,4.216395324324493
iphiclus,4.216395324324493
release,4.216395324324493
phylacus,4.216395324324493
odius,4.216395324324493
carcase,4.216395324324493
griefs,4.216395324324493
olden,4.216395324324493
arraying,4.216395324324493
arrogance,4.216395324324493
phaenops,4.216395324324493
abydus,4.216395324324493
reproof,4.216395324324493
unwearying,4.216395324324493
lists,4.216395324324493
swiftness,4.216395324324493
swiftlier,4.216395324324493
grovelling,4.216395324324493
groweth,4.216395324324493
quiet,4.216395324324493
sweepeth,4.216395324324493
contrived,4.216395324324493
commandment,4.216395324324493
furthermost,4.216395324324493
sufficeth,4.216395324324493
suffereth,4.216395324324493
centre,4.216395324324493
reareth,4.216395324324493
ceaseth,4.216395324324493
gotten,4.216395324324493
oenomaus,4.216395324324493
amplest,4.216395324324493
423,4.216395324324493
speedeth,4.216395324324493
mulius,4.216395324324493
rests,4.216395324324493
surge,4.216395324324493
conflicts,4.216395324324493
surest,4.216395324324493
faithless,4.216395324324493
161,4.216395324324493
tight,4.216395324324493
unabating,4.216395324324493
hasting,4.216395324324493
bested,4.216395324324493
schedius,4.216395324324493
turneth,4.216395324324493
heareth,4.216395324324493
hasten,4.216395324324493
helice,4.216395324324493
whomso,4.216395324324493
hearkening,4.216395324324493
darkly,4.216395324324493
dame,4.216395324324493
travail,4.216395324324493
augeias,4.216395324324493
hearten,4.216395324324493
bethinking,4.216395324324493
presumptuous,4.216395324324493
mailed,4.216395324324493
scattereth,4.216395324324493
prevaileth,4.216395324324493
entering,4.216395324324493
portents,4.216395324324493
fleest,4.216395324324493
ensnared,4.216395324324493
imbrius,4.216395324324493
bestowed,4.216395324324493
tokens,4.216395324324493
entreatment,4.216395324324493
marshallers,4.216395324324493
avoweth,4.216395324324493
promachus,4.216395324324493
enwrap,4.216395324324493
sheddeth,4.216395324324493
irresistible,4.216395324324493
haughty,4.216395324324493
dewy,4.216395324324493
fitly,4.216395324324493
manifest,4.216395324324493
shay,4.216395324324493
daze,4.216395324324493
proclamation,4.216395324324493
fix,4.216395324324493
scarce,4.216395324324493
pratest,4.216395324324493
deceit,4.216395324324493
mead,4.216395324324493
bereft,4.216395324324493
manliness,4.216395324324493
shores,4.216395324324493
lance,4.216395324324493
unaware,4.216395324324493
zone,4.216395324324493
paeëon,4.216395324324493
declaring,4.216395324324493
thronging,4.216395324324493
threateneth,4.216395324324493
wishes,4.216395324324493
overpowering,4.216395324324493
shrieked,4.216395324324493
potion,4.216395324324493
kindliness,4.216395324324493
seamen,4.216395324324493
erebus,4.216395324324493
uncovered,4.216395324324493
polyidus,4.216395324324493
eudorus,4.216395324324493
tritogeneia,4.216395324324493
thoughtest,4.216395324324493
ado,4.216395324324493
departing,4.216395324324493
scyrus,4.216395324324493
iphitus,4.216395324324493
seekest,4.216395324324493
fie,4.216395324324493
prayeth,4.216395324324493
maeonians,4.216395324324493
hardihood,4.216395324324493
damans,4.216395324324493
maeonia,4.216395324324493
possesseth,4.216395324324493
epistrophus,4.216395324324493
sendeth,4.216395324324493
selleïs,4.216395324324493
pasturing,4.216395324324493
waggons,2.8109302162163288
cleaveth,2.8109302162163288
stoodest,2.8109302162163288
conquered,2.8109302162163288
departeth,2.8109302162163288
aegae,2.8109302162163288
isus,2.8109302162163288
olen,2.8109302162163288
iasus,2.8109302162163288
fulfilling,2.8109302162163288
agastrophus,2.8109302162163288
faintly,2.8109302162163288
stored,2.8109302162163288
devisers,2.8109302162163288
fully,2.8109302162163288
reverent,2.8109302162163288
spercheius,2.8109302162163288
spelt,2.8109302162163288
spercheüs,2.8109302162163288
leitus,2.8109302162163288
woodman,2.8109302162163288
remembering,2.8109302162163288
fallest,2.8109302162163288
rested,2.8109302162163288
revolving,2.8109302162163288
offereth,2.8109302162163288
shamelessness,2.8109302162163288
vaunteth,2.8109302162163288
agelaus,2.8109302162163288
cleave,2.8109302162163288
clattered,2.8109302162163288
froward,2.8109302162163288
diver,2.8109302162163288
vouch,2.8109302162163288
diveth,2.8109302162163288
551,2.8109302162163288
vexing,2.8109302162163288
renegade,2.8109302162163288
starteth,2.8109302162163288
sceptred,2.8109302162163288
yesternight,2.8109302162163288
doeth,2.8109302162163288
pastureland,2.8109302162163288
doorway,2.8109302162163288
feebler,2.8109302162163288
delighting,2.8109302162163288
stinging,2.8109302162163288
ganymedes,2.8109302162163288
coffer,2.8109302162163288
seeth,2.8109302162163288
vexeth,2.8109302162163288
rending,2.8109302162163288
libations,2.8109302162163288
cnosus,2.8109302162163288
antheia,2.8109302162163288
clymene,2.8109302162163288
565,2.8109302162163288
wight,2.8109302162163288
despised,2.8109302162163288
shaketh,2.8109302162163288
53,2.8109302162163288
lacked,2.8109302162163288
ancaeus,2.8109302162163288
aegialus,2.8109302162163288
springeth,2.8109302162163288
aflame,2.8109302162163288
leavest,2.8109302162163288
pad,2.8109302162163288
stirreth,2.8109302162163288
gavest,2.8109302162163288
stealing,2.8109302162163288
anchorage,2.8109302162163288
stamping,2.8109302162163288
laerces,2.8109302162163288
stalled,2.8109302162163288
stall,2.8109302162163288
gathereth,2.8109302162163288
division,2.8109302162163288
divisions,2.8109302162163288
joyeth,2.8109302162163288
aesyetes,2.8109302162163288
clonius,2.8109302162163288
seaboard,2.8109302162163288
shrieking,2.8109302162163288
hypeirochus,2.8109302162163288
otus,2.8109302162163288
crier,2.8109302162163288
outran,2.8109302162163288
creon,2.8109302162163288
creaked,2.8109302162163288
craven,2.8109302162163288
rusheth,2.8109302162163288
crashed,2.8109302162163288
fleeting,2.8109302162163288
wreaths,2.8109302162163288
forbare,2.8109302162163288
crag,2.8109302162163288
clanging,2.8109302162163288
craftiness,2.8109302162163288
slewest,2.8109302162163288
fleecy,2.8109302162163288
dank,2.8109302162163288
rowers,2.8109302162163288
alcmaon,2.8109302162163288
aiders,2.8109302162163288
forbode,2.8109302162163288
slayings,2.8109302162163288
ruddy,2.8109302162163288
aided,2.8109302162163288
wasteth,2.8109302162163288
ruinous,2.8109302162163288
watchers,2.8109302162163288
slumbered,2.8109302162163288
alcimus,2.8109302162163288
floateth,2.8109302162163288
favoured,2.8109302162163288
wetteth,2.8109302162163288
laogonus,2.8109302162163288
whatsoe,2.8109302162163288
savoury,2.8109302162163288
ialmenus,2.8109302162163288
alalcomenean,2.8109302162163288
size,2.8109302162163288
saveth,2.8109302162163288
saidst,2.8109302162163288
fluttering,2.8109302162163288
shrinking,2.8109302162163288
lasheth,2.8109302162163288
kilt,2.8109302162163288
saith,2.8109302162163288
sinner,2.8109302162163288
shuddereth,2.8109302162163288
whilst,2.8109302162163288
feareth,2.8109302162163288
sighted,2.8109302162163288
cteatus,2.8109302162163288
discerned,2.8109302162163288
perceive,2.8109302162163288
sangarius,2.8109302162163288
shoutings,2.8109302162163288
flighty,2.8109302162163288
followeth,2.8109302162163288
inclineth,2.8109302162163288
whensoe,2.8109302162163288
weaklings,2.8109302162163288
sounded,2.8109302162163288
leafy,2.8109302162163288
forswear,2.8109302162163288
leafage,2.8109302162163288
farm,2.8109302162163288
accomplisheth,2.8109302162163288
wanderings,2.8109302162163288
shear,2.8109302162163288
conveyers,2.8109302162163288
contriver,2.8109302162163288
shew,2.8109302162163288
oneness,2.8109302162163288
hunting,2.8109302162163288
onsets,2.8109302162163288
wot,2.8109302162163288
opheltius,2.8109302162163288
frankly,2.8109302162163288
content,2.8109302162163288
phaestus,2.8109302162163288
abreast,2.8109302162163288
laodocus,2.8109302162163288
hued,2.8109302162163288
iamenus,2.8109302162163288
deemest,2.8109302162163288
abidest,2.8109302162163288
deemeth,2.8109302162163288
deeps,2.8109302162163288
feasteth,2.8109302162163288
scamandrius,2.8109302162163288
palisade,2.8109302162163288
amongst,2.8109302162163288
coön,2.8109302162163288
rod,2.8109302162163288
peiros,2.8109302162163288
achelous,2.8109302162163288
keenest,2.8109302162163288
courseth,2.8109302162163288
launched,2.8109302162163288
counteth,2.8109302162163288
rotteth,2.8109302162163288
waxes,2.8109302162163288
ot,2.8109302162163288
keepers,2.8109302162163288
withdrawing,2.8109302162163288
wantonness,2.8109302162163288
forged,2.8109302162163288
pen,2.8109302162163288
warcry,2.8109302162163288
forgettest,2.8109302162163288
shifteth,2.8109302162163288
dismount,2.8109302162163288
warred,2.8109302162163288
counselled,2.8109302162163288
couldst,2.8109302162163288
overweeningly,2.8109302162163288
riseth,2.8109302162163288
deadliest,2.8109302162163288
cornfield,2.8109302162163288
roam,2.8109302162163288
corded,2.8109302162163288
debated,2.8109302162163288
coppersmiths,2.8109302162163288
withes,2.8109302162163288
quelled,2.8109302162163288
swing,2.8109302162163288
buffeted,2.8109302162163288
evenus,2.8109302162163288
putteth,2.8109302162163288
gruesome,2.8109302162163288
maw,2.8109302162163288
guarding,2.8109302162163288
guileful,2.8109302162163288
tangle,2.8109302162163288
tamers,2.8109302162163288
talker,2.8109302162163288
matchest,2.8109302162163288
tales,2.8109302162163288
brush,2.8109302162163288
rangeth,2.8109302162163288
pyraechmes,2.8109302162163288
entrance,2.8109302162163288
tilth,2.8109302162163288
broidering,2.8109302162163288
helus,2.8109302162163288
embankments,2.8109302162163288
briseïs,2.8109302162163288
brightly,2.8109302162163288
bestow,2.8109302162163288
betake,2.8109302162163288
chiding,2.8109302162163288
13,2.8109302162163288
augeiae,2.8109302162163288
betook,2.8109302162163288
bewailing,2.8109302162163288
unaccomplished,2.8109302162163288
beleaguer,2.8109302162163288
belloweth,2.8109302162163288
ranging,2.8109302162163288
tip,2.8109302162163288
livedst,2.8109302162163288
caletor,2.8109302162163288
moveless,2.8109302162163288
unwashen,2.8109302162163288
tithonus,2.8109302162163288
eileithyia,2.8109302162163288
unbreakable,2.8109302162163288
grovelled,2.8109302162163288
swelleth,2.8109302162163288
sweetness,2.8109302162163288
swearing,2.8109302162163288
unbearable,2.8109302162163288
molus,2.8109302162163288
ragest,2.8109302162163288
burners,2.8109302162163288
burdened,2.8109302162163288
unblest,2.8109302162163288
bulk,2.8109302162163288
proclaim,2.8109302162163288
prized,2.8109302162163288
talaus,2.8109302162163288
beseems,2.8109302162163288
ascania,2.8109302162163288
ascanius,2.8109302162163288
swoopeth,2.8109302162163288
swooped,2.8109302162163288
mists,2.8109302162163288
toiling,2.8109302162163288
astynous,2.8109302162163288
podaleirius,2.8109302162163288
thersilochus,2.8109302162163288
lovingly,2.8109302162163288
lurid,2.8109302162163288
unheedful,2.8109302162163288
interpret,2.8109302162163288
prophesying,2.8109302162163288
lop,2.8109302162163288
bivouac,2.8109302162163288
meaner,2.8109302162163288
haplessness,2.8109302162163288
boastings,2.8109302162163288
hereof,2.8109302162163288
hardy,2.8109302162163288
askest,2.8109302162163288
prosperous,2.8109302162163288
thole,2.8109302162163288
thitherward,2.8109302162163288
mellay,2.8109302162163288
thinketh,2.8109302162163288
hideth,2.8109302162163288
thie,2.8109302162163288
melted,2.8109302162163288
promiseth,2.8109302162163288
blindeth,2.8109302162163288
blest,2.8109302162163288
blessing,2.8109302162163288
promptings,2.8109302162163288
hardened,2.8109302162163288
intervene,2.8109302162163288
boasteth,2.8109302162163288
teat,2.8109302162163288
teach,2.8109302162163288
habitation,2.8109302162163288
atymnius,2.8109302162163288
loathly,2.8109302162163288
assaracus,2.8109302162163288
assault,2.8109302162163288
tend,2.8109302162163288
telemachus,2.8109302162163288
327,2.8109302162163288
encircled,2.8109302162163288
billets,2.8109302162163288
meted,2.8109302162163288
unmixed,2.8109302162163288
325,2.8109302162163288
meseemeth,2.8109302162163288
inquirest,2.8109302162163288
encountered,2.8109302162163288
unpossessed,2.8109302162163288
prothous,2.8109302162163288
halizones,2.8109302162163288
throbbing,2.8109302162163288
ennomus,2.8109302162163288
podargus,2.8109302162163288
halter,2.8109302162163288
thrusteth,2.8109302162163288
assuaged,2.8109302162163288
espied,2.8109302162163288
pteleos,2.8109302162163288
menesthius,2.8109302162163288
borus,2.8109302162163288
midmost,2.8109302162163288
balius,2.8109302162163288
exult,2.8109302162163288
epicles,2.8109302162163288
strifes,2.8109302162163288
tribe,2.8109302162163288
rede,2.8109302162163288
strewed,2.8109302162163288
hecamede,2.8109302162163288
needest,2.8109302162163288
reed,2.8109302162163288
badest,2.8109302162163288
charis,2.8109302162163288
malice,2.8109302162163288
battlegear,2.8109302162163288
